iter	Passed	Remaining
721	14888	5732
722	14908	5712
723	14929	5691
724	14950	5670
725	14970	5649
726	14990	5629
727	15011	5608
728	15032	5588
729	15052	5567
730	15073	5546
731	15093	5526
732	15114	5505
733	15135	5484
734	15155	5464
735	15176	5443
736	15197	5423
737	15218	5402
738	15239	5382
739	15260	5361
740	15281	5341
741	15302	5320
742	15322	5299
743	15343	5279
744	15364	5258
745	15384	5238
746	15405	5217
747	15425	5196
748	15446	5176
749	15466	5155
750	15487	5134
751	15507	5114
752	15528	5093
753	15549	5073
754	15570	5052
755	15590	5031
756	15611	5011
757	15631	4990
758	15652	4970
759	15673	4949
760	15693	4928
761	15714	4908
762	15734	4887
763	15755	4866
764	15776	4846
765	15797	4825
766	15817	4805
767	15838	4784
768	15859	4763
769	15879	4743
770	15901	4722
771	15921	4702
772	15942	4681
773	15963	4661
774	15983	4640
775	16004	4619
776	16025	4599
777	16046	4578
778	16066	4558
779	16087	4537
780	16108	4516
781	16128	4496
782	16149	4475
783	16169	4454
784	16189	4434
785	16210	4413
786	16231	4393
787	16252	4372
788	16272	4351
789	16293	4331
790	16314	4310
791	16334	4289
792	16355	4269
793	16376	4248
794	16397	4228
795	16417	4207
796	16438	4186
797	16459	4166
798	16479	4145
799	16501	4125
800	16521	4104
801	16542	4083
802	16562	4063
803	16583	4042
804	16603	4022
805	16624	4001
806	16645	3980
807	16666	3960
808	16687	3939
809	16707	3919
810	16727	3898
811	16748	3877
812	16769	3857
813	16789	3836
814	16810	3815
815	16830	3795
816	16851	3774
817	16872	3753
818	16892	3733
819	16913	3712
820	16934	3692
821	16954	3671
822	16974	3650
823	16995	3630
824	17015	3609
825	17036	3588
826	17057	3568
827	17077	3547
828	17098	3526
829	17119	3506
830	17140	3485
831	17161	3465
832	17182	3444
833	17203	3424
834	17223	3403
835	17244	3382
836	17264	3362
837	17285	3341
838	17306	3320
839	17326	3300
840	17347	3279
841	17368	3259
842	17388	3238
843	17409	3217
844	17430	3197
845	17451	3176
846	17471	3156
847	17492	3135
848	17513	3114
849	17533	3094
850	17554	3073
851	17574	3052
852	17596	3032
853	17616	3011
854	17636	2991
855	17657	2970
856	17678	2949
857	17699	2929
858	17720	2908
859	17741	2888
860	17762	2867
861	17782	2846
862	17803	2826
